activity_a,activity_b,capacity_a,capacity_b,count,weighted
MIT Launch,Scientific Reading Society,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Scientific Reading Society>>,8,0.156862745098039
Mobile Apps Club,Physics Lab work only (Forbes),<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Lab work only (Forbes)>>,8,0.125
Mobile Apps Club,Red Cross Youth Task Force,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Red Cross Youth Task Force>>,8,0.112676056338028
Mobile Apps Club,Open Music Practice-Strings Only,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,8,0.142857142857143
MIT Launch,Send-a-Smile,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,8,0.125
Band,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,8,0.0695652173913043
Mobile Apps Club,Urban Dance Movement,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,8,0.112676056338028
TJ Media (R),RAD (Recording Audio for the Disabled),<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,<bound method EighthActivity.capacity of <EighthActivity: RAD (Recording Audio for the Disabled)>>,8,0.137931034482759
Latin: Certamen,Band,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Latin: Certamen  (Lister),American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.0975609756097561
Mobile Apps Club,PC (re)Builders,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: PC (re)Builders>>,8,0.121212121212121
Lab 207: Robotics (DelaCuesta),Band,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Mock Trial Club,Band,<bound method EighthActivity.capacity of <EighthActivity: Mock Trial Club>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
TJ Media (R),WILD (Women in Leadership and Development),<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,<bound method EighthActivity.capacity of <EighthActivity: WILD (Women in Leadership and Development)>>,8,0.137931034482759
Environmental Science Club,Band,<bound method EighthActivity.capacity of <EighthActivity: Environmental Science Club>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Lab 203: Burnett,Band,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0842105263157895
Band,Magician's Alliance,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Magician's Alliance>>,8,0.08
Band,Global Health Initiative,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Global Health Initiative>>,8,0.0776699029126214
Physics  Retakes,Mobile Apps Club,<bound method EighthActivity.capacity of <EighthActivity: Physics  Retakes>>,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,8,0.222222222222222
Physics tutoring / makeup Smith,Mobile Apps Club,<bound method EighthActivity.capacity of <EighthActivity: Physics tutoring / makeup Smith>>,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,8,0.125
MIT Launch,Open Music Practice-Strings Only,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,8,0.142857142857143
German Honor Society,Band,<bound method EighthActivity.capacity of <EighthActivity: German Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Aerospace Initiative (formerly Rocketry Club),Relay For Life,<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Relay For Life>>,8,0.114285714285714
UAV Club (Unmanned Aerial Vehicle),RAD (Recording Audio for the Disabled),<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,<bound method EighthActivity.capacity of <EighthActivity: RAD (Recording Audio for the Disabled)>>,8,0.142857142857143
Band,Biotechnology Club,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Biotechnology Club>>,8,0.0792079207920792
Drama,Band,<bound method EighthActivity.capacity of <EighthActivity: Drama>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0592592592592593
Mobile Apps Club,Writing Conference (Kochman),<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,8,0.125
Investigations in Epidemiology,Band,<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Open Music Practice-Strings Only,Mind Body Medicine Society,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,<bound method EighthActivity.capacity of <EighthActivity: Mind Body Medicine Society>>,8,0.166666666666667
Send-a-Smile,Band,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Physics Lab Work Only (Scholla),Mobile Apps Club,<bound method EighthActivity.capacity of <EighthActivity: Physics Lab Work Only (Scholla)>>,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,8,0.125
Mobile Apps Club,UAV Club (Unmanned Aerial Vehicle),<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,8,0.125
MIT Launch,Otaku Club,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Otaku Club>>,8,0.125
Band,Coding Lady Colonials,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Coding Lady Colonials>>,8,0.0761904761904762
Science and Law,Band,<bound method EighthActivity.capacity of <EighthActivity: Science and Law>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Quizbowl (It's Academic),Scientific Reading Society,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: Scientific Reading Society>>,8,0.126984126984127
Innovations in Concepts of Engineering (ICE),Threshold,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,<bound method EighthActivity.capacity of <EighthActivity: Threshold>>,8,0.137931034482759
Investigations in Epidemiology,Research Statistics 1 (Carey),<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,<bound method EighthActivity.capacity of <EighthActivity: Research Statistics 1 (Carey)>>,8,0.137931034482759
Indian Language Association,Spanish Tertulia Mateo,<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,8,0.148148148148148
Indian Language Association,Math Help (Schmitt),<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,<bound method EighthActivity.capacity of <EighthActivity: Math Help (Schmitt)>>,8,0.133333333333333
Teknos,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Teknos>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,8,0.117647058823529
Investigations in Epidemiology,Spanish Tertulia (Pou) Level 2,<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,8,0.153846153846154
Lab 8: Prototyping Lab,Innovations in Concepts of Engineering (ICE),<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,8,0.145454545454545
Indian Language Association,Latin: AP Review,<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,<bound method EighthActivity.capacity of <EighthActivity: Latin: AP Review>>,8,0.137931034482759
Indian Language Association,Latin Exam,<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,8,0.266666666666667
Innovations in Concepts of Engineering (ICE),Library Computer Classroom,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,<bound method EighthActivity.capacity of <EighthActivity: Library Computer Classroom>>,8,0.153846153846154
MIT Launch,Innovations in Concepts of Engineering (ICE),<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,8,0.121212121212121
Indian Language Association,Spanish Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,8,0.137931034482759
Band,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,8,0.0776699029126214
Band,Math 3 Help,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3 Help>>,8,0.0776699029126214
TJ Minds Matter,Innovations in Concepts of Engineering (ICE),<bound method EighthActivity.capacity of <EighthActivity: TJ Minds Matter>>,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,8,0.114285714285714
Lab 200 - Computer Systems,Innovations in Concepts of Engineering (ICE),<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,8,0.16
Math 3 and Math 4 tutoring,Band,<bound method EighthActivity.capacity of <EighthActivity: Math 3 and Math 4 tutoring>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0761904761904762
Yoga,Indian Language Association,<bound method EighthActivity.capacity of <EighthActivity: Yoga>>,<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,8,0.133333333333333
Debate: Policy - Varsity,Band,<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Varsity>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Indian Language Association,TSA - Technology Student Assn (R),<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,8,0.123076923076923
Band,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,8,0.0592592592592593
Model UN,Innovations in Concepts of Engineering (ICE),<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,8,0.0888888888888889
Lab 207: Robotics (DelaCuesta),Innovations in Concepts of Engineering (ICE),<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,8,0.137931034482759
Indian Language Association,Multivar/AMT/DiffieQ tutoring DO NOT USE,<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,<bound method EighthActivity.capacity of <EighthActivity: Multivar/AMT/DiffieQ tutoring DO NOT USE>>,8,0.117647058823529
Band,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.106666666666667
tjSTAR,Indian Language Association,<bound method EighthActivity.capacity of <EighthActivity: tjSTAR>>,<bound method EighthActivity.capacity of <EighthActivity: Indian Language Association>>,8,0.16
